text,category
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Contractor mobilized additional excavators and piling rigs to recover schedule slippage.","CONTRACTOR_ISSUE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Contractor mobilized additional excavators and piling rigs to recover schedule slippage.","CONTRACTOR_ISSUE"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Contractor mobilized additional excavators and piling rigs to recover schedule slippage.","CONTRACTOR_ISSUE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Physical milestone execution proceeding in line with approved CPM/PERT schedule.","NONE"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
"Right of way possession in progress for package 2 corridor. Compensation distribution under Section 3G ongoing.","LAND_ACQUISITION"
"Stage-II forest diversion clearance awaited from State Forest Department for 14.5 Ha stretch.","FOREST_CLEARANCE"
"HT power transmission line shifting in progress by state electricity distribution company.","UTILITY_SHIFTING"
